Event Time UTC;Event Time;Home Team;Away Team;1st Quarter;2nd Quarter;3rd Quarter;4th Quarter;Overtime Home;1st Quarter Away;2nd Quarter Away;3rd Quarter Away;4th Quarter Away;Overtime Away;MatchId;Country;Competition
1680894000;07.04.2023-21:00;Monaco;Partizan;22;13;21;28;;18;24;20;26;;g_3_tOJkKT2c;europe;euroleague
1680892200;07.04.2023-20:30;Olimpia Milano;Barcelona;18;21;19;26;;21;15;12;28;;g_3_WCC2HRnG;europe;euroleague
1680890400;07.04.2023-20:00;Panathinaikos;Alba Berlin;17;25;26;16;;25;24;17;22;;g_3_xjDbI7X9;europe;euroleague
1680807600;06.04.2023-21:00;Baskonia;Lyon-Villeurbanne;32;23;33;32;;24;27;24;25;;g_3_zRSac6ep;europe;euroleague
1680806700;06.04.2023-20:45;Real Madrid;Bayern;19;21;16;23;;13;23;8;23;;g_3_2XKoL9mi;europe;euroleague
1680805800;06.04.2023-20:30;Valencia;Virtus Bologna;17;23;18;21;;19;19;19;11;;g_3_lUW3dQAj;europe;euroleague
1680803100;06.04.2023-19:45;Fenerbahce;Anadolu Efes;23;25;24;31;;17;23;24;22;;g_3_UqjX1nmT;europe;euroleague
1680800400;06.04.2023-19:00;Crvena zvezda;Olympiacos;26;19;20;22;;30;17;12;20;;g_3_jgiT2SXM;europe;euroleague
1680800400;06.04.2023-19:00;Zalgiris Kaunas;Maccabi Tel Aviv;17;25;14;12;;17;28;7;15;;g_3_baEfJmI3;europe;euroleague
1680289200;31.03.2023-21:00;Lyon-Villeurbanne;Crvena zvezda;19;23;11;7;;17;20;19;20;;g_3_Em087jJi;europe;euroleague
1680287400;31.03.2023-20:30;Baskonia;Fenerbahce;25;13;22;32;;27;17;14;11;;g_3_MD3G5Um4;europe;euroleague
1680287400;31.03.2023-20:30;Olympiacos;Panathinaikos;16;17;24;24;;17;21;10;25;;g_3_8AaC6AYc;europe;euroleague
1680287400;31.03.2023-20:30;Partizan;Real Madrid;21;28;29;26;;23;15;34;18;;g_3_rTiP38IG;europe;euroleague
1680282000;31.03.2023-19:00;Bayern;Monaco;22;18;20;21;;23;22;12;27;;g_3_4xgL4l3A;europe;euroleague
1680282000;31.03.2023-19:00;Zalgiris Kaunas;Valencia;21;31;25;18;;16;24;15;19;;g_3_zc148W3o;europe;euroleague
1680201000;30.03.2023-20:30;Barcelona;Alba Berlin;19;15;16;22;;21;14;7;14;;g_3_buILqmRp;europe;euroleague
1680199500;30.03.2023-20:05;Maccabi Tel Aviv;Olimpia Milano;29;24;13;19;;21;15;20;10;;g_3_dWVglTIT;europe;euroleague
1680197400;30.03.2023-19:30;Anadolu Efes;Virtus Bologna;13;23;24;26;;13;14;11;29;;g_3_29Wkk93N;europe;euroleague
1680115500;29.03.2023-20:45;Real Madrid;Fenerbahce;24;25;19;22;;21;23;14;17;;g_3_4ODnjklH;europe;euroleague
1680112800;29.03.2023-20:00;Olympiacos;Lyon-Villeurbanne;22;15;19;25;;13;16;10;16;;g_3_MaOsiVYA;europe;euroleague
